arrival time,interval,adherence
2018-04-17T20:11:49,9,ON TIME
2018-04-17T20:22:49,11,ON TIME
2018-04-17T20:35:19,12,ON TIME
2018-04-17T20:40:49,5,ON TIME
2018-04-17T21:29:49,49,10+ MIN LATE
2018-04-17T21:48:19,18,ON TIME
2018-04-17T22:04:49,16,ON TIME
2018-04-17T22:12:49,8,ON TIME
2018-04-17T22:36:49,24,2-5 MIN LATE
2018-04-17T22:53:19,16,ON TIME
2018-04-17T23:16:49,23,2-5 MIN LATE
2018-04-17T23:38:19,21,ON TIME
2018-04-17T23:53:49,15,ON TIME
2018-04-18T00:09:19,15,ON TIME
2018-04-18T06:01:49,20,5-10 MIN LATE
2018-04-18T06:14:49,13,ON TIME
2018-04-18T06:28:19,13,ON TIME
2018-04-18T06:42:49,14,ON TIME
2018-04-18T07:03:49,21,5-10 MIN LATE
2018-04-18T07:13:49,10,ON TIME
2018-04-18T07:22:49,9,ON TIME
2018-04-18T07:29:49,7,ON TIME
2018-04-18T07:45:19,15,5-10 MIN LATE
2018-04-18T07:55:49,10,ON TIME
2018-04-18T08:18:49,23,10+ MIN LATE
2018-04-18T08:27:49,9,ON TIME
2018-04-18T08:34:49,7,ON TIME
2018-04-18T08:40:49,6,ON TIME
2018-04-18T08:50:49,10,ON TIME
2018-04-18T09:07:19,16,5-10 MIN LATE
2018-04-18T09:15:49,8,ON TIME
2018-04-18T09:29:49,14,2-5 MIN LATE
2018-04-18T09:31:49,2,BUNCHED
2018-04-18T09:37:49,6,ON TIME
2018-04-18T09:47:19,9,ON TIME
2018-04-18T09:55:19,8,ON TIME
2018-04-18T10:13:19,18,5-10 MIN LATE
2018-04-18T10:21:49,8,ON TIME
2018-04-18T10:27:49,6,ON TIME
2018-04-18T10:41:19,13,2-5 MIN LATE
2018-04-18T10:49:49,8,ON TIME
2018-04-18T10:59:49,10,ON TIME
2018-04-18T11:03:49,4,ON TIME
2018-04-18T11:19:49,16,5-10 MIN LATE
2018-04-18T11:34:49,15,5-10 MIN LATE
2018-04-18T11:43:49,9,ON TIME
2018-04-18T12:00:49,17,5-10 MIN LATE
2018-04-18T12:01:49,1,BUNCHED
2018-04-18T12:08:49,7,ON TIME
2018-04-18T12:14:49,6,ON TIME
2018-04-18T12:27:49,13,2-5 MIN LATE
2018-04-18T12:43:19,15,5-10 MIN LATE
2018-04-18T12:50:49,7,ON TIME
2018-04-18T12:58:49,8,ON TIME
2018-04-18T13:14:49,16,5-10 MIN LATE
2018-04-18T13:24:49,10,ON TIME
2018-04-18T13:27:19,2,BUNCHED
2018-04-18T13:46:49,19,5-10 MIN LATE
2018-04-18T13:54:49,8,ON TIME
2018-04-18T14:00:49,6,ON TIME
2018-04-18T14:11:19,10,ON TIME
2018-04-18T14:26:49,15,5-10 MIN LATE
2018-04-18T14:33:49,7,ON TIME
2018-04-18T14:41:49,8,ON TIME
2018-04-18T14:50:49,9,ON TIME
2018-04-18T15:00:49,10,ON TIME
2018-04-18T15:10:49,10,ON TIME
2018-04-18T15:25:49,15,5-10 MIN LATE
2018-04-18T15:38:49,13,2-5 MIN LATE
2018-04-18T15:42:49,4,ON TIME
2018-04-18T15:47:19,4,ON TIME
2018-04-18T16:01:49,14,2-5 MIN LATE
2018-04-18T16:12:49,11,ON TIME
2018-04-18T16:22:49,10,ON TIME
2018-04-18T16:45:19,22,10+ MIN LATE
2018-04-18T16:47:49,2,BUNCHED
2018-04-18T16:56:49,9,ON TIME
2018-04-18T17:15:19,18,5-10 MIN LATE
2018-04-18T17:44:19,29,10+ MIN LATE
2018-04-18T17:53:19,9,ON TIME
2018-04-18T17:55:19,2,BUNCHED
2018-04-18T17:59:49,4,ON TIME
2018-04-18T18:00:49,1,BUNCHED
2018-04-18T18:07:19,6,ON TIME
2018-04-18T18:20:19,13,ON TIME
2018-04-18T18:29:21,9,ON TIME
2018-04-18T18:37:49,8,ON TIME
2018-04-18T18:55:49,18,2-5 MIN LATE
2018-04-18T19:12:49,17,2-5 MIN LATE
2018-04-18T19:24:49,12,ON TIME
2018-04-18T19:38:19,13,ON TIME
2018-04-18T19:40:19,2,BUNCHED
2018-04-18T19:47:19,7,ON TIME
2018-04-18T20:08:19,21,ON TIME
2018-04-18T20:18:49,10,ON TIME
2018-04-18T20:56:49,38,10+ MIN LATE
2018-04-18T21:00:49,4,ON TIME
2018-04-18T21:20:49,20,ON TIME
2018-04-18T21:46:49,26,5-10 MIN LATE
2018-04-18T22:04:49,18,ON TIME
2018-04-18T22:23:19,18,ON TIME
2018-04-18T22:37:49,14,ON TIME
2018-04-18T22:50:49,13,ON TIME
2018-04-18T23:18:49,28,5-10 MIN LATE
2018-04-18T23:40:49,22,2-5 MIN LATE
2018-04-18T23:58:49,18,ON TIME
2018-04-19T00:12:49,14,ON TIME
2018-04-19T06:03:49,18,2-5 MIN LATE
2018-04-19T06:13:49,10,ON TIME
2018-04-19T06:30:19,16,ON TIME
2018-04-19T06:46:49,16,ON TIME
2018-04-19T07:00:49,14,ON TIME
2018-04-19T07:09:49,9,ON TIME
2018-04-19T07:21:19,11,ON TIME
2018-04-19T07:34:49,13,2-5 MIN LATE
2018-04-19T07:47:49,13,2-5 MIN LATE
2018-04-19T08:11:49,24,10+ MIN LATE
2018-04-19T08:17:49,6,ON TIME
2018-04-19T08:20:49,3,ON TIME
2018-04-19T08:32:49,12,2-5 MIN LATE
2018-04-19T08:40:49,8,ON TIME
2018-04-19T08:53:49,13,2-5 MIN LATE
2018-04-19T08:59:19,5,ON TIME
2018-04-19T09:15:49,16,5-10 MIN LATE
2018-04-19T09:25:49,10,ON TIME
2018-04-19T09:44:49,19,5-10 MIN LATE
2018-04-19T09:48:49,4,ON TIME
2018-04-19T09:51:19,2,BUNCHED
2018-04-19T09:55:19,4,ON TIME
2018-04-19T10:12:49,17,5-10 MIN LATE
2018-04-19T10:24:49,12,2-5 MIN LATE
2018-04-19T10:30:49,6,ON TIME
2018-04-19T10:37:49,7,ON TIME
2018-04-19T10:45:19,7,ON TIME
2018-04-19T10:53:49,8,ON TIME
2018-04-19T11:09:49,16,5-10 MIN LATE
2018-04-19T11:21:49,12,2-5 MIN LATE
2018-04-19T11:33:49,12,2-5 MIN LATE
2018-04-19T11:36:49,3,ON TIME
2018-04-19T11:50:49,14,2-5 MIN LATE
2018-04-19T12:06:49,16,5-10 MIN LATE
2018-04-19T12:14:49,8,ON TIME
2018-04-19T12:17:49,3,ON TIME
2018-04-19T12:40:49,23,10+ MIN LATE
2018-04-19T12:55:49,15,5-10 MIN LATE
2018-04-19T12:59:19,3,ON TIME
2018-04-19T13:04:49,5,ON TIME
2018-04-19T13:09:49,5,ON TIME
2018-04-19T13:28:49,19,5-10 MIN LATE
2018-04-19T13:34:49,6,ON TIME
2018-04-19T13:46:49,12,2-5 MIN LATE
2018-04-19T13:50:49,4,ON TIME
2018-04-19T14:17:49,27,10+ MIN LATE
2018-04-19T14:20:49,3,ON TIME
2018-04-19T14:22:49,2,BUNCHED
2018-04-19T14:48:49,26,10+ MIN LATE
2018-04-19T14:48:49,0,BUNCHED
2018-04-19T14:51:19,2,BUNCHED
2018-04-19T14:59:49,8,ON TIME
2018-04-19T15:11:49,12,2-5 MIN LATE
2018-04-19T15:17:49,6,ON TIME
2018-04-19T15:37:49,20,10+ MIN LATE
2018-04-19T15:49:19,11,ON TIME
2018-04-19T16:00:49,11,ON TIME
2018-04-19T16:07:49,7,ON TIME
2018-04-19T16:13:49,6,ON TIME
2018-04-19T16:31:19,17,5-10 MIN LATE
2018-04-19T16:32:49,1,BUNCHED
2018-04-19T16:45:49,13,2-5 MIN LATE
2018-04-19T17:01:49,16,5-10 MIN LATE
2018-04-19T17:12:49,11,ON TIME
2018-04-19T17:28:49,16,5-10 MIN LATE
2018-04-19T17:44:49,16,5-10 MIN LATE
2018-04-19T17:49:49,5,ON TIME
2018-04-19T18:00:49,11,ON TIME
2018-04-19T18:03:19,2,BUNCHED
2018-04-19T18:09:49,6,ON TIME
2018-04-19T18:14:19,4,ON TIME
2018-04-19T18:36:19,22,5-10 MIN LATE
2018-04-19T18:47:49,11,ON TIME
2018-04-19T18:54:19,6,ON TIME
2018-04-19T19:18:49,24,5-10 MIN LATE
2018-04-19T19:29:49,11,ON TIME
2018-04-19T19:35:49,6,ON TIME
2018-04-19T19:51:49,16,ON TIME
2018-04-19T20:06:49,15,ON TIME
2018-04-19T20:22:49,16,ON TIME
2018-04-19T20:50:49,28,5-10 MIN LATE
2018-04-19T21:04:49,14,ON TIME
2018-04-19T21:28:49,24,2-5 MIN LATE
2018-04-19T21:36:49,8,ON TIME
2018-04-19T21:57:49,21,ON TIME
2018-04-19T22:18:49,21,ON TIME
2018-04-19T22:37:49,19,ON TIME
2018-04-19T23:00:49,23,2-5 MIN LATE
2018-04-19T23:15:49,15,ON TIME
2018-04-19T23:34:19,18,ON TIME
2018-04-19T23:51:49,17,ON TIME
2018-04-20T00:20:49,29,5-10 MIN LATE
2018-04-20T00:35:49,15,ON TIME
2018-04-20T00:54:49,19,ON TIME
2018-04-20T00:55:49,1,BUNCHED
2018-04-20T01:13:19,17,ON TIME
2018-04-20T01:48:19,35,10+ MIN LATE
2018-04-20T02:12:19,24,2-5 MIN LATE
2018-04-20T02:26:49,14,ON TIME
2018-04-20T02:50:49,24,2-5 MIN LATE
2018-04-20T03:13:49,23,2-5 MIN LATE
2018-04-20T06:00:49,15,ON TIME
2018-04-20T06:13:49,13,ON TIME
2018-04-20T06:29:19,15,ON TIME
2018-04-20T06:46:19,17,2-5 MIN LATE
2018-04-20T07:02:49,16,ON TIME
2018-04-20T07:11:19,8,ON TIME
2018-04-20T07:19:49,8,ON TIME
2018-04-20T07:31:49,12,2-5 MIN LATE
2018-04-20T07:38:49,7,ON TIME
2018-04-20T07:49:19,10,ON TIME
2018-04-20T08:03:49,14,2-5 MIN LATE
2018-04-20T08:22:49,19,5-10 MIN LATE
2018-04-20T08:30:49,8,ON TIME
2018-04-20T08:40:49,10,ON TIME
2018-04-20T08:48:49,8,ON TIME
2018-04-20T08:53:49,5,ON TIME
2018-04-20T09:07:19,13,2-5 MIN LATE
2018-04-20T09:15:49,8,ON TIME
2018-04-20T09:23:19,7,ON TIME
2018-04-20T09:35:49,12,2-5 MIN LATE
2018-04-20T09:52:49,17,5-10 MIN LATE
2018-04-20T09:55:49,3,ON TIME
2018-04-20T10:11:19,15,5-10 MIN LATE
2018-04-20T10:13:49,2,BUNCHED
2018-04-20T10:22:19,8,ON TIME
2018-04-20T10:30:49,8,ON TIME
2018-04-20T10:49:49,19,5-10 MIN LATE
2018-04-20T10:57:49,8,ON TIME
2018-04-20T11:07:19,9,ON TIME
2018-04-20T11:16:49,9,ON TIME
2018-04-20T11:25:49,9,ON TIME
2018-04-20T11:49:49,24,10+ MIN LATE
2018-04-20T11:56:49,7,ON TIME
2018-04-20T12:08:19,11,ON TIME
2018-04-20T12:11:49,3,ON TIME
2018-04-20T12:28:49,17,5-10 MIN LATE
2018-04-20T12:46:49,18,5-10 MIN LATE
2018-04-20T12:48:49,2,BUNCHED
2018-04-20T12:58:49,10,ON TIME
2018-04-20T13:00:49,2,BUNCHED
2018-04-20T13:24:51,24,10+ MIN LATE
2018-04-20T13:27:49,2,BUNCHED
2018-04-20T13:38:49,11,ON TIME
2018-04-20T13:54:49,16,5-10 MIN LATE
2018-04-20T14:06:49,12,2-5 MIN LATE
2018-04-20T14:10:49,4,ON TIME
2018-04-20T14:30:49,20,10+ MIN LATE
2018-04-20T14:33:49,3,ON TIME
2018-04-20T14:40:49,7,ON TIME
2018-04-20T14:43:19,2,BUNCHED
2018-04-20T14:58:49,15,5-10 MIN LATE
2018-04-20T15:02:49,4,ON TIME
2018-04-20T15:16:49,14,2-5 MIN LATE
2018-04-20T15:33:49,17,5-10 MIN LATE
2018-04-20T15:41:19,7,ON TIME
2018-04-20T15:58:49,17,5-10 MIN LATE
2018-04-20T15:59:19,0,BUNCHED
2018-04-20T16:12:49,13,2-5 MIN LATE
2018-04-20T16:18:19,5,ON TIME
2018-04-20T16:21:49,3,ON TIME
2018-04-20T16:54:49,33,10+ MIN LATE
2018-04-20T16:56:49,2,BUNCHED
2018-04-20T17:13:19,16,5-10 MIN LATE
2018-04-20T17:22:19,9,ON TIME
2018-04-20T17:24:19,2,BUNCHED
2018-04-20T17:45:19,21,10+ MIN LATE
2018-04-20T17:48:49,3,ON TIME
2018-04-20T17:51:19,2,BUNCHED
2018-04-20T18:02:49,11,ON TIME
2018-04-20T18:08:49,6,ON TIME
2018-04-20T18:13:49,5,ON TIME
2018-04-20T18:23:49,10,ON TIME
2018-04-20T18:44:49,21,5-10 MIN LATE
2018-04-20T18:50:49,6,ON TIME
2018-04-20T19:00:49,10,ON TIME
2018-04-20T19:30:49,30,10+ MIN LATE
2018-04-20T19:54:19,23,5-10 MIN LATE
2018-04-20T19:56:49,2,BUNCHED
2018-04-20T20:34:19,37,10+ MIN LATE
2018-04-20T20:38:49,4,ON TIME
2018-04-20T20:41:49,3,ON TIME
2018-04-20T21:06:49,25,5-10 MIN LATE
2018-04-20T21:29:49,23,2-5 MIN LATE
2018-04-20T21:43:19,13,ON TIME
2018-04-20T22:02:19,19,ON TIME
2018-04-20T22:22:49,20,ON TIME
2018-04-20T22:57:49,35,10+ MIN LATE
2018-04-20T23:00:19,2,BUNCHED
2018-04-20T23:21:49,21,ON TIME
2018-04-20T23:42:49,21,ON TIME
2018-04-21T00:02:19,19,ON TIME
2018-04-21T00:19:49,17,ON TIME
2018-04-21T00:33:19,13,ON TIME
2018-04-21T00:57:19,24,2-5 MIN LATE
2018-04-21T01:20:49,23,2-5 MIN LATE
2018-04-21T01:30:49,10,ON TIME
2018-04-21T01:51:49,21,ON TIME
2018-04-21T02:09:49,18,ON TIME
2018-04-21T02:27:19,17,ON TIME
2018-04-21T02:51:49,24,2-5 MIN LATE
2018-04-21T03:06:49,15,ON TIME
2018-04-21T07:01:49,22,2-5 MIN LATE
2018-04-21T07:16:49,15,ON TIME
2018-04-21T07:37:49,21,ON TIME
2018-04-21T07:56:49,19,ON TIME
2018-04-21T08:15:49,19,ON TIME
2018-04-21T08:31:49,16,ON TIME
2018-04-21T08:48:19,16,ON TIME
2018-04-21T09:02:49,14,ON TIME
2018-04-21T09:10:20,7,ON TIME
2018-04-21T09:29:49,19,2-5 MIN LATE
2018-04-21T09:40:49,11,ON TIME
2018-04-21T10:02:49,22,5-10 MIN LATE
2018-04-21T10:20:49,18,2-5 MIN LATE
2018-04-21T10:36:49,16,ON TIME
2018-04-21T10:47:19,10,ON TIME
2018-04-21T11:02:49,15,ON TIME
2018-04-21T11:18:19,15,ON TIME
2018-04-21T11:28:49,10,ON TIME
2018-04-21T11:52:49,24,5-10 MIN LATE
2018-04-21T12:01:19,8,ON TIME
2018-04-21T12:14:49,13,ON TIME
2018-04-21T12:38:49,24,5-10 MIN LATE
2018-04-21T12:51:49,13,ON TIME
2018-04-21T13:06:49,15,ON TIME
2018-04-21T13:18:49,12,ON TIME
2018-04-21T13:43:49,25,10+ MIN LATE
2018-04-21T13:55:49,12,ON TIME
2018-04-21T14:07:49,12,ON TIME
2018-04-21T14:25:19,17,2-5 MIN LATE
2018-04-21T14:34:49,9,ON TIME
2018-04-21T14:48:49,14,ON TIME
2018-04-21T15:12:49,24,5-10 MIN LATE
2018-04-21T15:19:49,7,ON TIME
2018-04-21T15:39:19,19,2-5 MIN LATE
2018-04-21T15:52:49,13,ON TIME
2018-04-21T16:21:19,28,10+ MIN LATE
2018-04-21T16:22:49,1,BUNCHED
2018-04-21T16:33:49,11,ON TIME
2018-04-21T16:49:49,16,ON TIME
2018-04-21T17:06:49,17,2-5 MIN LATE
2018-04-21T17:22:49,16,ON TIME
2018-04-21T17:33:49,11,ON TIME
2018-04-21T17:55:19,21,5-10 MIN LATE
2018-04-21T18:06:49,11,ON TIME
2018-04-21T18:16:49,10,ON TIME
